[0x0000000105D07080]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480613
[0x0000000105D0E080]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480611
[0x00000000FFD50080]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480609
[0x00000000FFD50780]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480607
[0x00000000FFD51C80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480605
[0x00000000FFD52A80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480603
[0x0000000116D84D80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480601
[0x0000000116D8D280]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480599
[0x0000000116D8D600]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480597
[0x0000000116D81C80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480595
[0x0000000116D86D00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480593
[0x00000000EE838900]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480591
[0x00000000EE839700]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480589
[0x00000000EE83A500]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480587
[0x0000000155F15100]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480585
[0x00000000EE830400]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480583
[0x00000000EE83AC00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480581
[0x00000000EE83BA00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480579
[0x00000000EE83D980]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480577
[0x00000000EE83E400]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480575
[0x00000000EE834300]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480573
[0x00000000EE83F900]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480571
[0x00000000EE838200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480569
[0x00000000EE83D280]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480567
[0x0000000040888900]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480565
[0x0000000040885800]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480563
[0x0000000040888200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480561
[0x0000000040887400]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480559
[0x0000000040881200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480557
[0x0000000040885100]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480555
[0x00000001173B2000]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480553
[0x00000001173B0400]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480551
[0x0000000121813180]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480549
[0x000000012181E780]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480547
[0x000000011C681C80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480545
[0x0000000121815100]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480543
[0x00000000EE833F80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480541
[0x00000000EE835B80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480539
[0x00000000EE835480]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480537
[0x0000000121814A00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480535
[0x0000000155F19700]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480533
[0x0000000121C7D600]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480531
[0x0000000121999A80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480529
[0x0000000121816980]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480527
[0x000000011C683880]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480525
[0x000000011C683F80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480523
[0x000000012182F900]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480521
[0x00000000F3D45F00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480519
[0x0000000010477080]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480517
[0x0000000121807780]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480515
[0x000000012180FC80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480513
[0x0000000121807B00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480511
[0x0000000121808200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480509
[0x0000000121808900]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480507
[0x0000000121809000]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480505
[0x0000000121809700]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480503
[0x0000000121809E00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480501
[0x000000012180A500]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480499
[0x000000012180AF80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480497
[0x000000012181F200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480495
[0x000000012180B300]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480493
[0x000000012180BD80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480491
[0x000000012182CF00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480489
[0x000000012180C100]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480487
[0x00000000D3933C00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480485
[0x00000000D3930B00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480483
[0x00000000D3936D00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480481
[0x00000000D3935B80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480479
[0x00000000D3934D80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480477
[0x00000000D3932380]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480475
[0x00000000D3933500]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480473
[0x000000011C72D280]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480471
[0x000000011C722380]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480469
[0x000000011C728C80]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480467
[0x000000011C721200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480465
[0x000000011C720B00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480463
[0x000000011C728200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480461
[0x000000011C727B00]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480459
[0x000000011C72F200]	BP_ImpactEffect_HD_C BP_ImpactEffect_HD_C_2147480457
